,cosine_score,jaccard_score
2010-08-13,,
2010-11-12,,
2011-05-13,,
2011-08-12,0.8580826649187796,0.750733137829912
2011-11-14,0.861727769476566,0.7562552126772311
2012-05-10,0.8913902535754413,0.8040063737764626
2012-08-02,0.8791402341726716,0.7841774988794262
2012-11-07,0.8773405206966469,0.7811590959946296
2013-05-10,0.8801659919191572,0.7858623071609486
2013-08-09,0.864981724765618,0.7620106761565836
2013-11-08,0.8583347222989353,0.751660026560425
2014-05-09,0.8615876458002474,0.7567506240072612
2014-08-08,0.8696472031144311,0.7692479856759177
2014-11-07,0.874370171616475,0.7766052986079928
2015-05-11,0.8504810672405322,0.7390804597701149
2015-08-07,0.827720969330926,0.7046287809349221
2015-11-05,0.8334693466160075,0.7134677049931287
2016-05-10,0.8226162905088272,0.6979542719614922
2016-08-05,0.8312352360201136,0.711056511056511
2016-11-02,0.8190556502865637,0.6935598018400566
2017-05-10,0.8034561626743396,0.6693511274735389
2017-08-04,0.8054481563380198,0.6718322698268003
2017-11-03,0.8063591498507863,0.6738651388276774
2018-05-07,0.8493271662284325,0.7379524761270264
2018-08-06,0.857026068378352,0.7496153000659486
2018-11-02,0.8481626387146048,0.7361258770997235
